Date,Open,High,Low,Close,Volume
6/21/2001,244.2,251,244.2,249.95,5330
6/22/2001,250.6,253.9,250,250.65,4998
6/25/2001,248.5,252.9,247,250.3,5703
6/26/2001,246.1,250,246.1,249.8,10842
6/27/2001,268.95,268.95,248.5,249.5,2128
6/28/2001,248.1,251,243.2,250.1,3709
6/29/2001,244,250.95,240,250.05,24331
7/2/2001,245.1,249,243.5,245.85,5102
7/3/2001,245,250,245,249.65,4250
7/4/2001,235,270,235,249.9,12107
7/5/2001,237.5,249.9,237.5,246.65,12965
7/6/2001,250,250,245,245.25,3099
7/9/2001,240,250,240,249.85,4971
7/10/2001,245.05,250,245.05,249.85,4606
7/11/2001,249.9,249.9,245.8,249.7,23240
7/12/2001,246.1,249.25,245.25,246.45,3454
7/13/2001,242.4,249,242.4,247.6,3532
7/16/2001,245.1,250,245.1,249.65,4198
7/17/2001,248.5,249.9,247,249.6,596
7/18/2001,247.5,250,247.15,250,22572
7/19/2001,249.95,249.95,246.1,248.45,1493
7/20/2001,247,249.4,245.1,247.65,1329
7/23/2001,245.75,246.5,245.15,246.45,52
7/24/2001,250,255,245,249.4,3634
7/25/2001,250,255,248,248.15,10613
7/26/2001,253.45,253.45,248,249.9,11284
7/27/2001,254.95,255,250.35,252.8,9989
7/30/2001,255,259.25,254,257.35,4406
7/31/2001,260,260,254,255.15,2830
8/1/2001,250,257.95,250,255,2536
8/2/2001,258,260,256.55,259.95,5193
8/3/2001,259.25,263,259.25,262.45,3111
8/6/2001,250.5,259.65,250.5,258.25,5273
8/7/2001,256,260,255.4,259.6,3492
8/8/2001,259,259.45,255.8,257.25,2487
8/9/2001,257,257.65,255,255.05,2076
8/10/2001,258,258,255,255.55,5145
8/13/2001,252.05,259.75,252.05,258.35,3329
8/14/2001,258.85,264.95,258.3,263.45,8128
8/16/2001,259,261,258,259.95,5590
8/17/2001,260.5,261.75,250.6,256.25,10635
8/20/2001,259,261,255.5,260.25,6162
8/21/2001,259.1,259.85,257.5,259.2,1445
8/23/2001,246,262.25,246,261.85,2069
8/24/2001,258.55,261,257.5,258.05,2377
8/27/2001,257.5,258.8,255.4,258.2,3189
8/28/2001,255.45,259.9,255.45,258.05,2385
8/29/2001,258,261.5,251.05,260.5,4052
8/30/2001,261.5,262,259,260.35,10810
8/31/2001,261.95,265,260.05,264.5,10342
9/3/2001,265.1,265.1,260.9,264.25,5885
9/4/2001,263,269.85,262.1,268.4,8543
9/5/2001,265.05,266.7,261.5,263.3,3538
9/6/2001,273.95,273.95,263.75,266.75,4864
9/7/2001,267,270.95,264,264.35,4165
9/10/2001,264.05,275.45,264,273.85,5593
9/11/2001,269.05,277.45,269.05,273.95,11295
9/12/2001,250,272,250,268.15,7887
9/13/2001,267,271.9,267,270.1,23775
9/14/2001,263.2,272,263.2,265.05,22628
9/17/2001,256.3,264.9,245.25,255.1,130147
9/18/2001,264.75,264.75,245,258,21182
9/19/2001,251.45,258,251,253.2,16041
9/20/2001,258.95,259.9,255,255.6,7454
9/21/2001,240,264.95,240,255.95,7114
9/24/2001,256,268.75,255,263.4,6155
9/25/2001,257.1,278,255,263.55,9589
9/26/2001,269,270,256.75,267.85,85532
9/27/2001,258.25,276,258.25,272.85,14116
9/28/2001,274.4,276,266,271.5,22554
10/1/2001,267.05,271.5,264,264.9,4157
10/3/2001,253,267.2,253,264,1759
10/4/2001,265.15,266.5,265,265,2371
10/5/2001,267,267.2,263,264.3,3200
10/8/2001,266.6,266.95,260.5,261.95,2136
10/9/2001,264,267.9,260.35,267.15,3338
10/10/2001,264.05,271,264.05,270,237475
10/11/2001,263.55,271,263.55,268.45,3073
10/12/2001,270.9,271,255,263.5,7861
10/15/2001,263.8,264.9,260,262.3,3258
10/16/2001,261.4,262.75,259,260.45,3837
10/17/2001,258.2,262.85,258.2,261.55,5688
10/18/2001,256.75,264.5,256.75,261,2333
10/19/2001,260.3,266,260.1,262.15,26471
10/22/2001,261.45,264,261.45,263.1,1990
10/23/2001,265,267.6,262,264.15,5547
10/24/2001,265.35,276,264,274.95,40914
10/25/2001,279.4,279.4,274,274.9,23014
10/29/2001,278.95,278.95,266.1,270.85,8096
10/30/2001,268.25,270.1,268,268.25,6480
10/31/2001,268.95,270,265,269.35,9899
11/1/2001,266.3,273,266.3,270.05,21936
11/2/2001,272.3,274,270.7,272.05,9773
11/5/2001,271,272.8,269.5,270.45,9016
11/6/2001,271.9,272,270,270.6,7942
11/7/2001,270.05,271.75,270,270.5,5166
11/8/2001,277,277,270,274.6,3632
11/9/2001,275,275,270.25,271.3,6995
11/12/2001,273,273,270,271.85,3333
11/13/2001,270.1,275.4,270,275.35,64532
11/14/2001,279.5,279.5,276,278.2,2135
11/15/2001,279,279.5,272.55,274.75,4171
11/19/2001,278.75,278.75,271.55,273.1,3973
11/20/2001,274,276.75,270,271,13983
11/21/2001,274,276.75,270.55,275.4,15887
11/22/2001,275,277,274,275.1,11867
11/23/2001,275.05,276.5,273.4,275.25,9756
11/26/2001,278.95,292,278,280.55,22277
11/27/2001,282,285,275,276.9,5738
11/28/2001,283,283,270.05,273.15,3846
11/29/2001,272,276,272,273.4,25458
12/3/2001,277.85,277.85,270.25,271.65,2743
12/4/2001,274.75,276,272,275.15,5500
12/5/2001,274.05,277.85,272,275.95,18648
12/6/2001,278.95,278.95,272.5,276,7578
12/7/2001,280.5,280.5,275,275.1,9149
12/10/2001,275,280,273.1,276.5,4170
12/11/2001,278,281,275.2,280.55,16209
12/12/2001,277.6,281.6,277.55,281.15,39053
12/13/2001,277.55,284,276,280.85,26473
12/14/2001,281,282,278.05,280.05,11304
12/18/2001,299,299,271,277.2,4882
12/19/2001,273.45,278.65,271.2,272,1287
12/20/2001,266,275,266,274.15,2249
12/21/2001,275,275,267.45,269.75,3042
12/24/2001,251.2,272,251.2,271.7,3648
12/26/2001,272,275,268.3,270.6,2129
12/27/2001,271,274.9,268.1,269.4,4071
12/28/2001,272,272,265,266.3,8003
12/31/2001,272.65,274.95,262,273.95,4832
1/1/2002,264.55,272.45,264.05,265.6,2571
